File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A3_061_Albedo_BSA_shortwave_doy2000055_aid0001,Albedo_BSA_shortwave,aid0001,2/24/00,38567,0.056,0.835,"(0.056,0.835)",0.2332019,0.029949,0.0008969,0.247,0.287,0.233,0.18,0.22
MCD43A3_061_Albedo_BSA_shortwave_doy2000056_aid0001,Albedo_BSA_shortwave,aid0001,2/25/00,38562,0.056,0.834,"(0.056,0.834)",0.2331556,0.029954,0.0008972,0.247,0.289,0.233,0.177,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000057_aid0001,Albedo_BSA_shortwave,aid0001,2/26/00,39820,0.057,0.836,"(0.057,0.836)",0.2337341,0.0357643,0.0012791,0.247,0.289,0.233,0.177,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000058_aid0001,Albedo_BSA_shortwave,aid0001,2/27/00,40379,0.06,0.836,"(0.06,0.836)",0.2341797,0.0360436,0.0012991,0.247,0.289,0.233,0.177,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000059_aid0001,Albedo_BSA_shortwave,aid0001,2/28/00,40691,0.06,0.835,"(0.06,0.835)",0.2345915,0.0371382,0.0013792,0.247,0.289,0.233,0.177,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000060_aid0001,Albedo_BSA_shortwave,aid0001,2/29/00,40435,0.06,0.835,"(0.06,0.835)",0.2348342,0.0386297,0.0014923,0.248,0.291,0.233,0.176,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000061_aid0001,Albedo_BSA_shortwave,aid0001,3/1/00,38525,0.06,0.822,"(0.06,0.822)",0.2350483,0.0404551,0.0016366,0.248,0.291,0.233,0.176,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000062_aid0001,Albedo_BSA_shortwave,aid0001,3/2/00,35643,0.061,0.822,"(0.061,0.822)",0.2355431,0.0458021,0.0020978,0.248,0.291,0.233,0.176,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000063_aid0001,Albedo_BSA_shortwave,aid0001,3/3/00,37865,0.061,0.822,"(0.061,0.822)",0.2355999,0.0443278,0.001965,0.248,0.291,0.233,0.176,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000064_aid0001,Albedo_BSA_shortwave,aid0001,3/4/00,40109,0.06,0.822,"(0.06,0.822)",0.2352252,0.0432686,0.0018722,0.247,0.289,0.233,0.177,0.219
MCD43A3_061_Albedo_BSA_shortwave_doy2000065_aid0001,Albedo_BSA_shortwave,aid0001,3/5/00,40474,0.066,0.805,"(0.066,0.805)",0.2348729,0.0404029,0.0016324,0.248,0.293,0.233,0.173,0.218
MCD43A3_061_Albedo_BSA_shortwave_doy2000066_aid0001,Albedo_BSA_shortwave,aid0001,3/6/00,38503,0.066,0.756,"(0.066,0.756)",0.2337943,0.0345907,0.0011965,0.249,0.297,0.233,0.169,0.217
MCD43A3_061_Albedo_BSA_shortwave_doy2000067_aid0001,Albedo_BSA_shortwave,aid0001,3/7/00,37495,0.066,0.754,"(0.066,0.754)",0.2341934,0.0360234,0.0012977,0.249,0.298,0.233,0.167,0.216
