File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A3_061_Albedo_BSA_shortwave_doy2000055_aid0001,Albedo_BSA_shortwave,aid0001,2/24/00,5795,0.136,0.861,"(0.136,0.861)",0.4509141,0.1919364,0.0368396,0.656,0.861,0.369,0.136,0.262
MCD43A3_061_Albedo_BSA_shortwave_doy2000056_aid0001,Albedo_BSA_shortwave,aid0001,2/25/00,5793,0.136,0.86,"(0.136,0.86)",0.4506475,0.1918756,0.0368163,0.656,0.86,0.369,0.136,0.261
MCD43A3_061_Albedo_BSA_shortwave_doy2000057_aid0001,Albedo_BSA_shortwave,aid0001,2/26/00,8207,0.135,0.85,"(0.135,0.85)",0.501739,0.2008964,0.0403594,0.689,0.85,0.608,0.135,0.283
MCD43A3_061_Albedo_BSA_shortwave_doy2000058_aid0001,Albedo_BSA_shortwave,aid0001,2/27/00,8586,0.132,0.847,"(0.132,0.847)",0.509075,0.2008138,0.0403262,0.691,0.847,0.624,0.132,0.287
MCD43A3_061_Albedo_BSA_shortwave_doy2000059_aid0001,Albedo_BSA_shortwave,aid0001,2/28/00,11169,0.137,0.919,"(0.137,0.919)",0.5405309,0.1992701,0.0397086,0.704,0.919,0.651,0.137,0.316
MCD43A3_061_Albedo_BSA_shortwave_doy2000060_aid0001,Albedo_BSA_shortwave,aid0001,2/29/00,16935,0.156,0.873,"(0.156,0.873)",0.4935972,0.2003134,0.0401254,0.689,0.873,0.526,0.156,0.291
MCD43A3_061_Albedo_BSA_shortwave_doy2000061_aid0001,Albedo_BSA_shortwave,aid0001,3/1/00,19338,0.161,0.872,"(0.161,0.872)",0.487476,0.1993888,0.0397559,0.688,0.872,0.435,0.161,0.293
MCD43A3_061_Albedo_BSA_shortwave_doy2000062_aid0001,Albedo_BSA_shortwave,aid0001,3/2/00,19195,0.161,0.87,"(0.161,0.87)",0.4946057,0.2008165,0.0403273,0.691,0.87,0.498,0.161,0.295
MCD43A3_061_Albedo_BSA_shortwave_doy2000063_aid0001,Albedo_BSA_shortwave,aid0001,3/3/00,20093,0.161,0.869,"(0.161,0.869)",0.4935467,0.201275,0.0405116,0.69,0.869,0.496,0.161,0.293
MCD43A3_061_Albedo_BSA_shortwave_doy2000064_aid0001,Albedo_BSA_shortwave,aid0001,3/4/00,20739,0.161,0.868,"(0.161,0.868)",0.4942967,0.2021985,0.0408842,0.691,0.868,0.509,0.161,0.292
MCD43A3_061_Albedo_BSA_shortwave_doy2000065_aid0001,Albedo_BSA_shortwave,aid0001,3/5/00,20675,0.161,0.866,"(0.161,0.866)",0.491088,0.2042889,0.041734,0.693,0.866,0.469,0.161,0.287
MCD43A3_061_Albedo_BSA_shortwave_doy2000066_aid0001,Albedo_BSA_shortwave,aid0001,3/6/00,21578,0.155,0.865,"(0.155,0.865)",0.4907627,0.2026579,0.0410702,0.689,0.865,0.488,0.155,0.288
MCD43A3_061_Albedo_BSA_shortwave_doy2000067_aid0001,Albedo_BSA_shortwave,aid0001,3/7/00,21549,0.155,0.864,"(0.155,0.864)",0.4887002,0.2019561,0.0407863,0.688,0.864,0.468,0.155,0.289
MCD43A3_061_Albedo_BSA_shortwave_doy2000068_aid0001,Albedo_BSA_shortwave,aid0001,3/8/00,19283,0.08,0.857,"(0.08,0.857)",0.5284264,0.2028002,0.0411279,0.702,0.857,0.626,0.08,0.311
MCD43A3_061_Albedo_BSA_shortwave_doy2000069_aid0001,Albedo_BSA_shortwave,aid0001,3/9/00,19157,0.08,0.855,"(0.08,0.855)",0.5276935,0.2012029,0.0404826,0.701,0.855,0.62,0.08,0.318
MCD43A3_061_Albedo_BSA_shortwave_doy2000070_aid0001,Albedo_BSA_shortwave,aid0001,3/10/00,18477,0.08,0.853,"(0.08,0.853)",0.5168876,0.2019037,0.0407651,0.698,0.853,0.594,0.08,0.31
